NAICS_6_Digit,NAICS_6_Title,NAICS_8_Digit,NAICS_8_Title,Differentiation_Criteria_8,Description_8,NAICS_10_Digit,NAICS_10_Title,Differentiation_Criteria_10,Description_10
111110,Soybean Farming,11111001,Organic Soybean Farming,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers,1111100101,Organic Soybean Farming - Small-Scale (<50 acres),Farm Size,"Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers Small organic operations under 50 acres, often direct-to-consumer."
111110,Soybean Farming,11111001,Organic Soybean Farming,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers,1111100102,Organic Soybean Farming - Medium-Scale (50-500 acres),Farm Size,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers Medium-sized organic farms 50-500 acres with regional distribution.
111110,Soybean Farming,11111001,Organic Soybean Farming,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers,1111100103,Organic Soybean Farming - Large-Scale (500+ acres),Farm Size,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers Large organic operations over 500 acres with national distribution.
111110,Soybean Farming,11111001,Organic Soybean Farming,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers,1111100104,Organic Soybean Farming - Regenerative/Biodynamic,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers Advanced organic practices including biodynamic or regenerative agriculture.
111110,Soybean Farming,11111001,Organic Soybean Farming,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers,1111100105,Organic Soybean Farming - Direct-to-Consumer,Market Channel,"Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers Organic farms selling primarily through CSA, farmers markets, or farm stands."
111110,Soybean Farming,11111002,Conventional Soybean Farming,Production Method,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides,1111100201,Conventional Soybean Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides Small-scale operations under 100 acres.
111110,Soybean Farming,11111002,Conventional Soybean Farming,Production Method,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides,1111100202,Conventional Soybean Farming - Medium Farm (100-1000 acres),Farm Size,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides Medium-sized operations 100-1000 acres.
111110,Soybean Farming,11111002,Conventional Soybean Farming,Production Method,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides,1111100203,Conventional Soybean Farming - Large Farm (1000+ acres),Farm Size,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides Large-scale commercial operations over 1000 acres.
111110,Soybean Farming,11111002,Conventional Soybean Farming,Production Method,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides,1111100204,Conventional Soybean Farming - Precision Agriculture,Technology Level,"Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides Operations utilizing GPS, sensors, drones, and precision ag technology."
111110,Soybean Farming,11111002,Conventional Soybean Farming,Production Method,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides,1111100205,Conventional Soybean Farming - Contract Growing,Business Model,"Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides Contract production for processors, cooperatives, or major buyers."
111110,Soybean Farming,11111003,Non-GMO Soybean Farming,Product Type,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets,1111100301,Non-GMO Soybean Farming - Small Farm (<100 acres),Farm Size,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets Small-scale operations under 100 acres.
