NAICS_6_Digit,NAICS_6_Title,NAICS_8_Digit,NAICS_8_Title,Differentiation_Criteria,Description
111110,Soybean Farming,11111001,Organic Soybean Farming,Production Method,Farms primarily engaged in growing organic soybeans using certified organic farming practices without synthetic pesticides or fertilizers
111110,Soybean Farming,11111002,Conventional Soybean Farming,Production Method,Farms primarily engaged in growing soybeans using conventional farming methods including synthetic fertilizers and pesticides
111110,Soybean Farming,11111003,Non-GMO Soybean Farming,Product Type,Farms primarily engaged in growing non-genetically modified soybeans for specialty markets
111110,Soybean Farming,11111004,GMO Soybean Farming,Product Type,Farms primarily engaged in growing genetically modified soybeans (herbicide-resistant or other traits)
111110,Soybean Farming,11111005,Edamame (Vegetable Soybean) Farming,Product Type,Farms primarily engaged in growing edamame or vegetable-type soybeans for fresh consumption
111110,Soybean Farming,11111006,Identity Preserved Soybean Farming,Business Model,Farms maintaining specific soybean varieties with traceability for premium markets
111110,Soybean Farming,11111007,Soybean Seed Production,Product Type,Farms primarily engaged in growing soybeans for seed production and distribution
111120,Oilseed (except Soybean) Farming,11112001,Canola Farming,Crop Type,Farms primarily engaged in growing canola (rapeseed) for oil production
111120,Oilseed (except Soybean) Farming,11112002,Sunflower Farming,Crop Type,Farms primarily engaged in growing sunflowers for oil and seed production
111120,Oilseed (except Soybean) Farming,11112003,Flaxseed Farming,Crop Type,Farms primarily engaged in growing flax for linseed oil and fiber production
111120,Oilseed (except Soybean) Farming,11112004,Safflower Farming,Crop Type,Farms primarily engaged in growing safflower for oil production
111120,Oilseed (except Soybean) Farming,11112005,Sesame Seed Farming,Crop Type,Farms primarily engaged in growing sesame seeds for oil and culinary use
111120,Oilseed (except Soybean) Farming,11112006,Cottonseed Farming (for oil),Product Focus,Farms primarily engaged in cotton production focused on cottonseed oil extraction
111120,Oilseed (except Soybean) Farming,11112007,Specialty Oilseed Farming,Crop Type,Farms engaged in growing specialty oilseeds such as camelina or crambe
111130,Dry Pea and Bean Farming,11113001,Dry Edible Bean Farming,Product Type,Farms primarily engaged in growing dry edible beans (pinto black navy kidney)
111130,Dry Pea and Bean Farming,11113002,Chickpea (Garbanzo Bean) Farming,Crop Type,Farms primarily engaged in growing chickpeas for dry consumption
111130,Dry Pea and Bean Farming,11113003,Lentil Farming,Crop Type,Farms primarily engaged in growing lentils for dry consumption
111130,Dry Pea and Bean Farming,11113004,Dry Pea Farming,Crop Type,Farms primarily engaged in growing field peas for dry consumption
111130,Dry Pea and Bean Farming,11113005,Lima Bean Farming,Crop Type,Farms primarily engaged in growing lima beans for dry consumption
111130,Dry Pea and Bean Farming,11113006,Organic Pulse Crop Farming,Production Method,Farms growing organic certified dry peas beans or lentils
111130,Dry Pea and Bean Farming,11113007,Specialty Pulse Crop Farming,Market Segment,Farms growing specialty or heirloom varieties of dry peas and beans
111140,Wheat Farming,11114001,Hard Red Winter Wheat Farming,Variety Type,Farms primarily engaged in growing hard red winter wheat for bread flour
111140,Wheat Farming,11114002,Hard Red Spring Wheat Farming,Variety Type,Farms primarily engaged in growing hard red spring wheat for high-protein bread flour
111140,Wheat Farming,11114003,Soft Red Winter Wheat Farming,Variety Type,Farms primarily engaged in growing soft red winter wheat for pastry and cake flour
111140,Wheat Farming,11114004,Hard White Wheat Farming,Variety Type,Farms primarily engaged in growing hard white wheat for Asian noodles and bread
111140,Wheat Farming,11114005,Soft White Wheat Farming,Variety Type,Farms primarily engaged in growing soft white wheat for pastries and crackers
111140,Wheat Farming,11114006,Durum Wheat Farming,Variety Type,Farms primarily engaged in growing durum wheat for pasta production
111140,Wheat Farming,11114007,Organic Wheat Farming,Production Method,Farms growing certified organic wheat of any variety
111140,Wheat Farming,11114008,Wheat Seed Production,Product Type,Farms primarily engaged in producing wheat seed for planting
111150,Corn Farming,11115001,Field Corn (Grain) Farming,Product Type,Farms primarily engaged in growing field corn for grain livestock feed and industrial use
111150,Corn Farming,11115002,Sweet Corn Farming,Product Type,Farms primarily engaged in growing sweet corn for fresh or processed human consumption
111150,Corn Farming,11115003,Popcorn Farming,Product Type,Farms primarily engaged in growing popcorn varieties
111150,Corn Farming,11115004,Organic Corn Farming,Production Method,Farms growing certified organic corn of any type
111150,Corn Farming,11115005,Non-GMO Corn Farming,Product Type,Farms growing non-genetically modified corn for specialty markets
111150,Corn Farming,11115006,GMO Corn Farming,Product Type,Farms growing genetically modified corn (Bt herbicide-resistant)
111150,Corn Farming,11115007,Silage Corn Farming,Product Type,Farms primarily engaged in growing corn for silage (animal feed)
111150,Corn Farming,11115008,Corn Seed Production,Product Type,Farms primarily engaged in producing hybrid corn seed
111150,Corn Farming,11115009,Specialty Corn Farming,Product Type,Farms growing specialty corn varieties (flour corn dent corn ornamental)
111160,Rice Farming,11116001,Long Grain Rice Farming,Variety Type,Farms primarily engaged in growing long grain rice varieties
111160,Rice Farming,11116002,Medium Grain Rice Farming,Variety Type,Farms primarily engaged in growing medium grain rice varieties
111160,Rice Farming,11116003,Short Grain Rice Farming,Variety Type,Farms primarily engaged in growing short grain rice varieties including sushi rice
111160,Rice Farming,11116004,Aromatic Rice Farming,Variety Type,Farms primarily engaged in growing aromatic rice (jasmine basmati)
111160,Rice Farming,11116005,Organic Rice Farming,Production Method,Farms growing certified organic rice of any variety
111160,Rice Farming,11116006,Wild Rice Farming,Crop Type,Farms primarily engaged in cultivated wild rice production
111160,Rice Farming,11116007,Specialty Rice Farming,Product Type,Farms growing specialty rice varieties (black rice red rice arborio)
111191,Oilseed and Grain Combination Farming,11119101,Diversified Grain Farm Operations,Business Model,Farms growing multiple grain crops (wheat corn soybeans) in rotation
